IDN5,NM5
812056,Dolné Mladonice
812072,Dolné Naštice
812081,Dolné Obdokovce
812099,Dolné Orešany
812102,Dolné Otrokovce
812111,Dolné Plachtince
812129,Dolné Saliby
812137,Dolné Semerovce
812145,Dolné Srnie
812153,Dolné Strháre
812161,Dolné Štitáre
812170,Dolné Trhovište
812188,Dolné Vestenice
812196,Dolné Zahorany
812200,Dolné Zelenice
812226,Dolný Badín
812234,Dolný Bar
812242,Mad
812251,Dolný Harmanec
812277,Dolný Hričov
812293,Dolný Chotár
812307,Dolný Kalník
812315,Dolný Kubín
812331,Veľký Bysterec
812340,Malý Bysterec
812404,Záskalie
812455,Kubínska Hoľa
812463,Medzihradné
812471,Dolný Lieskov
812480,Dolný Lopašov
812501,Dolný Moštenec
812510,Dolný Ohaj
812536,Svätý Peter
812544,Dolný Pial
812552,Dolný Tisovník
812561,Dolný Vadičov
812579,Domadice
812587,Domaníky
812595,Domaniža
812625,Domaňovce
812641,Donovaly
812714,Dovalovo
812722,Drábsko
812757,Drahňov
812773,Drahovce
812803,Dravce
812811,Dražice
812820,Dražkovce
812854,Dražovce
812871,Drážovce
812889,Drienčany
812897,Papča
812901,Drienica
812927,Drienov
812935,Drienovec
812943,Drienovo
812960,Drienovská Nová Ves
813001,Drietoma
813052,Drňa
813061,Drnava
813079,Kostoľany nad Hornádom
813087,Malá Vieska
813095,Tepličany
813109,Drženice
813117,Držkovce
813125,Ďubákovo
813133,Dubinné
813141,Dubnica nad Váhom
813222,Dubnička
813249,Dubník
813265,Mikulášov dvor
813281,Dubno
813290,Dubodiel
813303,Dubová
813311,Dubová
813320,Dolné Dubovany
813338,Horné Dubovany
813346,Vlčkovany
813354,Vidovany
813362,Dubové
813371,Dubové
813389,Dubovec
813397,Dubovica
813401,Dúbrava
813427,Dúbrava
813435,Dúbrava
813443,Dúbravica
813451,Dúbravka
813478,Dúbravy
813516,Ducové
813532,Dudince
813559,Merovce
813567,Dukovce
813575,Dulice
813583,Dulov
813591,Dulova Ves
813605,Dulovce
813630,Dunajov
813664,Dunajská Streda
813826,Mliečany
813834,Malé Blahovo
813842,Duplín
813851,Ďurčiná
813877,Ďurďoš
813893,Ďurďošík
813907,Ďurďové
813915,Ďurkov
813923,Ďurková
813931,Ďurkovce
813940,Dúžava
813958,Dvorany nad Nitrou
813966,Dvorec
813982,Dvorec nad Turcom
813991,Dvorianky
814024,Dvorníky
814083,Dvorníky
814113,Malé Dvorníky
814121,Veľké Dvorníky
814148,Dvory nad Žitavou
814156,Dyčka
814172,Egreš
814181,Fačkov
814199,Falkušovce
814202,Farná
814211,Fekišovce
814229,Figa
814237,Fijaš
814296,Fiľakovo
814334,Fiľakovské Kováče
814351,Fintice
814369,Folkušová
814377,Forbasy
814385,Frička
814393,Fričkovce
814415,Fričovce
814423,Fulianka
814440,Gabčíkovo
814474,Gaboltov
814482,Gajary
814504,Galanta
814539,Hody
